"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-378a-5p",17.9095316007069,3.91153500177304,1.27679362391149,3.06356088291698,0.00218719694637209,0.0575506196514156
"hsa-miR-378i",17.8785603226653,1.25780787845355,1.4112774119364,0.891254878605142,0.372792449287412,0.784418407485749
"hsa-miR-381-3p",171.978218745851,0.520703110320558,0.823899466979937,0.631998358039037,0.52738795014862,0.866116376332988
"hsa-miR-3909-3p",125.390276563236,2.12229002269318,0.866934384600317,2.44803996749029,0.0143635721526179,0.208519444008694
"hsa-miR-3912-3p",150.19249199056,-0.811456200676173,0.530449382468322,-1.52975237128235,0.126078034981893,0.553511709477394
"hsa-miR-3913-5p",56.2118109580469,-0.579929666876207,0.556277237010522,-1.04251914026322,0.297171056223461,0.761854250630399
"hsa-miR-3918-5p",3.33422363482173,-4.10785376623657,2.164710923085,-1.89764541880832,0.057742807081384,NA
"hsa-miR-3928-3p",21.7210048808988,0.242349149169248,0.839069356520001,0.288830890183357,0.772710792114761,0.936050106055302
"hsa-miR-3940-3p",5.22067119992128,0.591856964801815,1.93076780423219,0.306539690326554,0.759193764819258,NA
"hsa-miR-3942-5p",35.948465048064,-0.0367414796940125,0.789039755379255,-0.0465648016383566,0.962860085807506,0.986287338503553
"hsa-miR-409-3p",560.643576725091,1.21678675070713,0.628193230270138,1.93696253330186,0.0527499234302393,0.411254032669087
"hsa-miR-410-3p",359.015070725208,0.599002887827797,0.769169616739464,0.778765664674835,0.436117767039105,0.798285130102014
"hsa-miR-411-5p",113.957835531214,0.857525399327576,0.721528224569887,1.18848489931043,0.234642425658813,0.7588773035606
"hsa-miR-421",3118.18008862181,-0.223697639730789,0.454740955468455,-0.491923230227515,0.622773615436449,0.890625547985753
"hsa-miR-423-3p",14687.5546570674,0.608357240672094,0.346894444903495,1.75372436661918,0.079477748234186,0.495240069625379
"hsa-miR-423-5p",511867.854722095,1.02365196275671,0.399068374814853,2.56510419607073,NA,NA
"hsa-miR-424-3p",1576.99297785462,-0.462396328778564,0.404971620293945,-1.14179934002027,0.253537436759268,0.7588773035606
"hsa-miR-424-5p",227.511674480135,-0.490007375431378,0.661063254400642,-0.741241283900505,0.458547155868777,0.817404806759534
"hsa-miR-425-3p",110.095766280963,1.78746296306774,0.498094201024015,3.58860424271745,0.000332453062141755,0.0155514154624088
"hsa-miR-425-5p",15976.435443987,0.28435812103892,0.269195182970138,1.05632692941041,0.29081887684767,0.761854250630399
"hsa-miR-429",70.7853923404968,2.35652389056998,0.805888249415719,2.92413233755238,0.00345417861275289,0.0765373261036299
"hsa-miR-431-3p",5.00216981925439,-1.09194323163829,2.06910482832152,-0.527737027477766,0.597681869790598,NA
"hsa-miR-431-5p",55.1829754621752,0.998153069802189,1.0283802105207,0.9706070377383,0.331744000031106,0.775490588397347
"hsa-miR-432-5p",42.4627567154182,0.0663278365130901,0.948717443306209,0.0699131622181864,0.944262776830133,0.982173932410328
"hsa-miR-4326",17.4001271214166,-1.82415521488528,1.33377950014412,-1.36765875820417,0.171418914928363,0.674708453434537
"hsa-miR-4424",5.22113949239861,1.30483788350921,1.85848114106285,0.702099071483172,0.48261738135781,NA
"hsa-miR-4433b-3p",9.84888298555764,1.89341001138006,1.45250465636008,1.30354832467448,0.192387629524502,0.69329879680247
"hsa-miR-4433b-5p",42.6201378515593,0.570830515706591,1.02709053287283,0.555774293927086,0.578365160669406,0.867142426925174
"hsa-miR-4435-5p",24.389309637763,-0.609905103331053,1.06774473974219,-0.571208717430271,0.567858169702659,0.867142426925174
"hsa-miR-4446-3p",74.9054963014002,0.622693556875282,0.917620550753737,0.678595914579069,0.497393932143378,0.837611381729449
"hsa-miR-4454",7.13042639151148,0.974284657693768,2.49506454158917,0.390484751578098,0.696178128666506,NA
"hsa-miR-4467-5p",12.859069130322,0.0252712912382683,2.04949275152678,0.0123305101808447,0.990161925599747,0.996365494032028
"hsa-miR-4473-5p",5.85104621786256,-1.25937910385519,1.53081333307845,-0.822686265295707,0.41068642781627,NA
"hsa-miR-4474-3p",8.18350910018222,-2.84843295425389,1.46073637383804,-1.94999796354063,0.0511763617681546,NA
"hsa-miR-4482-3p",27.1111842304078,-1.19203167409883,1.44452537211102,-0.825206463737499,0.409254384378465,0.784418407485749
"hsa-miR-449a/449b-5p",13.8307974851838,-1.52270088111389,1.66253132803143,-0.915893045406184,0.359722994805221,0.784418407485749
"hsa-miR-449c-5p",20.2685504078887,-0.746038154427401,1.22867394142614,-0.607189693924383,0.543725030963895,0.867142426925174
"hsa-miR-4503",4.04384405347589,0.335939289273112,1.9232605801423,0.174671748977591,0.86133756751789,NA
"hsa-miR-4504-3p",22.1519917046552,-0.20024629526748,0.912479637141689,-0.219452892006165,0.826297272144922,0.936050106055302
"hsa-miR-4508",8.42226719946174,0.563756564543842,1.08501499677896,0.519584122078903,0.603353467113414,NA
"hsa-miR-450a-5p",23.081874452914,-0.403987338263531,0.832378579423299,-0.485340863220468,0.627434573605617,0.890625547985753
"hsa-miR-450b-5p",261.52020340821,-0.460070131491694,0.748917700511861,-0.614313336668704,0.539008291209603,0.866116376332988
"hsa-miR-4511-5p",36.0169911018154,-0.413279460399308,1.04391196236374,-0.395894936833098,0.69218253638126,0.922878730131748
"hsa-miR-451a",769777.946891912,-0.104354897618384,0.359470356768627,-0.290301816696255,0.771585349142393,0.936050106055302
"hsa-miR-452-5p",43.7663598470306,1.10470540196471,0.907972445492683,1.21667282685575,0.223728721714131,0.7588773035606
"hsa-miR-454-3p",169.387482623594,-0.979903450467144,0.593651740145019,-1.65063687041121,0.0988127454834485,0.495240069625379
"hsa-miR-454-5p",299.860255148487,-0.925503656605076,0.627105074497756,-1.47583506216451,0.139988175681446,0.589350219618886
"hsa-miR-455-5p",25.945237268768,8.9372930501042,1.66598358634602,5.36457449122067,NA,NA
"hsa-miR-4637",6.21534027574184,0.72731326379271,1.65371762636282,0.43980498979887,0.660078353372489,NA
"hsa-miR-4638-3p",10.2606983619857,-0.0744418332286062,1.51867354682807,-0.0490176663602831,0.960905217142886,0.986287338503553
"hsa-miR-4645-3p",19.1588295843398,-2.49938591742497,1.26836196843915,-1.97056201590523,NA,NA
"hsa-miR-4646-5p",45.5894889400218,1.08244040024114,0.974039703319854,1.11128981349715,NA,NA
"hsa-miR-4647-5p",4.6809436863496,-0.073284904275687,2.09698576696356,-0.0349477356643215,0.972121416285116,NA
"hsa-miR-4659a-3p/4659b-3p",12.6823526273492,-0.588467515914759,1.12982366430468,-0.520848991313098,0.602471971531829,0.885436819451034
"hsa-miR-4660",4.0814037923361,-2.88313830496586,2.80305816699867,-1.02856884630865,0.303682323692881,NA
"hsa-miR-4661-5p",6.77578457289507,1.73686273758551,1.77130510925414,0.980555370450471,0.326812051862541,NA
"hsa-miR-4662a-5p",69.7327427571686,2.82290487903658,1.01607637601654,2.77824083471322,NA,NA
"hsa-miR-4668-5p",7.0219831501148,0.566577789501661,2.02900193094739,0.279239650224045,0.780060916850179,NA
"hsa-miR-4672-3p",7.45630608560375,-0.958874614456103,1.78798326440547,-0.536288361051826,0.591759273272413,NA
"hsa-miR-4676-3p",14.6989739955684,3.20725604788328,1.38686866234322,2.31258815990865,0.020745293122488,0.256875541310808
"hsa-miR-4677-3p",128.454910176044,0.518794034397331,0.61325590643321,0.845966633105446,0.397571358550998,0.784418407485749
"hsa-miR-4678-3p",6.00544190598838,-1.34842402985837,1.73429683723653,-0.777504750574867,0.436861032775175,NA
"hsa-miR-4685-3p",4.27171056077397,-0.211534426662189,1.9267493040288,-0.109788246047306,0.91257731298638,NA
"hsa-miR-4707-3p",6.05130151965656,-0.33647944989764,1.94162668842018,-0.173297705426278,0.862417427210506,NA
"hsa-miR-4732-3p",5882.45993523314,0.0048698804786989,0.476043605772079,0.0102299041929165,0.991837859748836,0.996365494032028
"hsa-miR-4732-5p",835.203272309052,0.646458556047836,0.641253901992406,1.00811637019168,0.313398599670714,0.76942023934609
"hsa-miR-4742-3p",16.2839347698128,-0.177472064131368,1.20533903549803,-0.147238294707711,0.882943935168034,0.957158324280892
"hsa-miR-4746-5p",38.2744713746797,-0.471443360210965,0.841421584412065,-0.560293875204522,0.575279004392288,0.867142426925174
"hsa-miR-4747-5p",4.57721857551518,1.09231600799553,1.93772864864557,0.563709479528536,0.572951864938449,NA
"hsa-miR-4748-5p",2.99756254875036,2.76755319102362,2.70444426467445,1.02333526601879,0.306149354951837,NA
"hsa-miR-4753-5p",21.8873549031489,5.2570712168884,1.59143049963267,3.30336211232713,0.000955329385090233,0.0287281193659277
"hsa-miR-4755-3p",12.8390016891476,1.23272681424554,1.43989891464093,0.856120385751488,0.391931193714531,0.784418407485749
"hsa-miR-4757-3p",10.912639048493,-0.0409529702110767,1.37554888166313,-0.0297720937125563,0.976248814888731,0.992755437362696
"hsa-miR-4762-5p",10.1053764688335,1.11380506964417,1.27122212663628,0.876168724809217,0.380938316040856,0.784418407485749
"hsa-miR-4767",5.23877003236114,5.07794602561534,1.99865375306905,2.54068320629216,0.0110636113344294,NA
"hsa-miR-4772-3p",22.9341879023064,2.38009722922878,1.40718853378273,1.6913847519996,0.0907633425956,0.495240069625379
"hsa-miR-4772-5p",16.2273115698093,1.44732964692879,1.33813256200153,1.08160408619301,0.279428488060668,0.761854250630399
"hsa-miR-4775",7.71648200143497,0.846659548047828,1.50264206800661,0.56344725472181,0.573130367068507,NA
"hsa-miR-4781-3p",6.29405946381341,1.16275097965956,1.56733099549168,0.741866895380832,0.458167984999444,NA
"hsa-miR-4786-5p",6.01047949235086,-3.38751829945747,2.41774711339622,-1.40110530199289,0.16118258635979,NA
"hsa-miR-4797-3p",5.74799399933581,0.12297340757465,2.13558900455941,0.0575828997583834,0.954080871085069,NA
"hsa-miR-483-3p",24.7326093644384,0.432168545082099,1.36390865156761,0.316860329748172,0.751349584393111,0.936050106055302
"hsa-miR-483-5p",137.431172664056,4.04832038768097,1.36131396422468,2.97383299817,0.00294105094352171,0.0691111525091881
"hsa-miR-484",8040.67175059595,0.291646100017078,0.256790754677429,1.13573442464248,0.256067728695316,0.7588773035606
"hsa-miR-485-5p",11.0823469069277,3.16224295686423,1.49215982477224,2.11923877346511,0.0340702930356144,0.327441930994057
"hsa-miR-486-3p",13741.9765868328,-0.315644597503229,0.341415232289872,-0.924518204375948,0.355216577853049,0.784418407485749
"hsa-miR-486-5p",15882072.2835102,0.0351941991344326,0.365970114513467,0.0961668664700146,0.923388045544241,0.976412933848945
"hsa-miR-487b-3p",12.1213571311402,1.52231731835254,1.45754596181805,1.04443863742979,0.29628249539824,0.761854250630399
"hsa-miR-493-3p",8.48481328070908,2.1298978454784,2.09574705753573,1.01629528135081,0.309488794944644,NA
"hsa-miR-493-5p",16.1446543860072,0.159889092114829,1.09104244945308,0.14654708640803,0.883489521536463,0.957158324280892
"hsa-miR-497-5p",97.7518506976557,1.49212796460696,0.752443408683612,1.98304343873171,0.0473625776286225,0.383454715031732
"hsa-miR-4999-5p",9.01903512059108,-1.50984065411023,1.85180478152048,-0.815334677379183,0.414880764315947,0.784418407485749
"hsa-miR-499a-5p",18.0219289419655,1.90226022999292,1.38756430579986,1.37093482589722,0.170395273788975,0.674708453434537
"hsa-miR-5000-3p",3.93108901512535,0.594396088213687,2.08302037238085,0.285352988427234,0.775373720628989,NA
"hsa-miR-5001-3p",37.5728212900082,-0.488161051058894,0.778438927003141,-0.627102569161375,0.53059200315939,0.866116376332988
"hsa-miR-500a-3p/502-3p",1072.73262991298,0.287950033452851,0.30865168218037,0.932928767530831,0.350856748053678,0.784418407485749
"hsa-miR-500a-5p/500b-5p",3.91740158341861,-0.870710041424289,2.25383983467668,-0.386322944526887,0.699257509741788,NA
